127.0.0.1 - - [24/Jul/2017:18:38:22 -0400] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:24 -0400] "GET /VamoLaVer-Eclipse/sing-in.html HTTP/1.1" 200 6780
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_Javascript/contact-us-js.js HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_css/style-pattern-pages.css HTTP/1.1" 200 8036
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_css/style-pages.css HTTP/1.1" 200 8986
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_imagens/logo.png HTTP/1.1" 200 30359
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_imagens/redes-sociais.png HTTP/1.1" 200 8889
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_imagens/add-png-black.png HTTP/1.1" 200 18049
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_imagens/star-favorite-black-png.png HTTP/1.1" 200 11734
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_imagens/pesquisar.png HTTP/1.1" 200 4526
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:25 -0400] "GET /VamoLaVer-Eclipse/_imagens/list-icon-png-black.png HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:38:48 -0400] "GET /VamoLaVer-Eclipse/custon-search-page.html HTTP/1.1" 200 11496
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/custon-search-page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_css/style-pages.css HTTP/1.1" 200 8987
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_css/style-pattern-pages.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_Javascript/contact-us-js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_imagens/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_imagens/redes-sociais.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_imagens/add-png-black.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_imagens/star-favorite-black-png.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_imagens/list-icon-png-black.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:15 -0400] "GET /VamoLaVer-Eclipse/_imagens/pesquisar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:38 -0400] "GET /VamoLaVer-Eclipse/contact-us.html HTTP/1.1" 200 7786
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:48:38 -0400] "GET /VamoLaVer-Eclipse/_css/style-pages.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:53:25 -0400] "GET /VamoLaVer-Eclipse/_css/style-pages.css HTTP/1.1" 200 8875
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:54:03 -0400] "GET /VamoLaVer-Eclipse/_css/style-pages.css HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:54:26 -0400] "GET /VamoLaVer-Eclipse/_css/style-pages.css HTTP/1.1" 200 8986
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:54:52 -0400] "GET /VamoLaVer-Eclipse/_css/style-pages.css HTTP/1.1" 200 8987
0:0:0:0:0:0:0:1 - - [24/Jul/2017:18:55:08 -0400] "GET /VamoLaVer-Eclipse/_css/style-pages.css HTTP/1.1" 200 8986
